Codigo;Acao;Tipo;Qtde. Teorica;Part. (%)
TTEN3;3TENTOS;ON      NM;676.005.326;2,725;
ABEV3;AMBEV S/A;ON;986.226.868;6,608;
ARZZ3;AREZZO CO;ON  EJ  NM;61.661.377;2,083;
ARML3;ARMAC;ON  EDJ NM;179.789.271;1,030;
ASAI3;ASSAI;ON      NM;489.145.458;3,477;
SOJA3;BOA SAFRA;ON      NM;453.884.983;2,367;
AGRO3;BRASILAGRO;ON      NM;191.101.765;2,268;
BRFS3;BRF SA;ON      NM;951.782.948;6,618;
CAML3;CAMIL;ON      NM;709.479.934;3,596;
CRFB3;CARREFOUR BR;ON      NM;273.745.275;2,181;
CSAN3;COSAN;ON      NM;681.905.434;5,937;
DXCO3;DEXCO;ON      NM;584.196.126;2,785;
GMAT3;GRUPO MATEUS;ON      NM;528.788.545;0,875;
HBSA3;HIDROVIAS;ON      NM;820.156.022;0,903;
RANI3;IRANI;ON      NM;925.053.417;3,036;
JALL3;JALLESMACHAD;ON      NM;620.671.132;2,360;
JBSS3;JBS;ON      NM;452.519.419;6,989;
KEPL3;KEPLER WEBER;ON;118.374.495;0,857;
KLBN11;KLABIN S/A;UNT     N2;677.263.438;6,658;
MDIA3;M.DIASBRANCO;ON      NM;160.209.280;2,063;
MRFG3;MARFRIG;ON      NM;473.620.569;2,902;
BEEF3;MINERVA;ON      NM;557.904.155;3,738;
PCAR3;P.ACUCAR-CBD;ON      NM;147.529.949;1,200;
RAIZ4;RAIZEN;PN      N2;1.030.140.205;2,267;
RAPT4;RANDON PART;PN      N1;220.391.060;1,010;
RCSL3;RECRUSUL;ON  EG;240.339.396;0,349;
RAIL3;RUMO S.A.;ON      NM;693.789.991;5,402;
SMTO3;SAO MARTINHO;ON  EJ  NM;192.424.316;3,370;
SLCE3;SLC AGRICOLA;ON      NM;159.372.861;3,427;
SUZB3;SUZANO S.A.;ON      NM;345.250.152;8,481;
TUPY3;TUPY;ON      NM;102.391.682;1,097;
VAMO3;VAMOS;ON      NM;235.933.169;1,341;
